number,title,introduced date,sponsor,cosponsors,committees,latest action day,latest action
H.RES.89,"Expressing the sense of the House of Representatives regarding the recent presidential elections and transfer of power in The Gambia, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/L000559.json,1,House Foreign Affairs Committee,"February  3, 2017",Referred to the House Committee on Foreign Affairs.
H.RES.87,Expressing the sense of the House of Representatives that a Global Marshall Plan holds the potential to demonstrate the commitment of the United States to peace and prosperity through poverty reduction in the United States and abroad.,"February  3, 2017",https://api.propublica.org/congress/v1/members/E000288.json,2,House Foreign Affairs Committee,"February  3, 2017",Referred to the House Committee on Foreign Affairs.
H.RES.88,"Calling on the Russian Federation to stop the violence in Ukraine, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/H001052.json,3,House Foreign Affairs Committee,"February  3, 2017",Referred to the House Committee on Foreign Affairs.
H.RES.90,"Expressing the sense of the House of Representatives that gun violence is a public health issue and Congress should enact by the end of the 115th Congress comprehensive Federal legislation that protects the Second Amendment and keeps communities safe and healthy, including expanding enforceable background checks for all commercial gun sales, improving the mental health system in the United States, and making gun trafficking and straw purchasing a Federal crime.","February  3, 2017",https://api.propublica.org/congress/v1/members/L000579.json,24,House Energy and Commerce Committee,"February  3, 2017",Referred to House Energy and Commerce
H.R.866,"To amend title 18, United States Code, to extend the coverage of the Federal prohibition against stalking in order to provide protection to friends and co-workers, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/M001188.json,7,House Judiciary Committee,"February  3, 2017",Referred to the House Committee on the Judiciary.
H.R.843,To provide for a safe harbor for reports to potential employers by current or former employers of violent behavior or threats thereof by employees.,"February  3, 2017",https://api.propublica.org/congress/v1/members/G000289.json,4,House Judiciary Committee,"February  3, 2017",Referred to the House Committee on the Judiciary.
H.RES.86,Providing amounts for the expenses of the Committee on Education and the Workforce in the One Hundred Fifteenth Congress.,"February  3, 2017",https://api.propublica.org/congress/v1/members/F000450.json,1,House House Administration Committee,"February  3, 2017",Referred to the House Committee on House Administration.
H.R.850,"To require the appropriation of funds to use a fee, fine, penalty, or proceeds from a settlement received by a Federal agency, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/P000609.json,51,House Rules Committee,"February  3, 2017",Referred to House Rules
H.R.844,"To amend the Immigration and Nationality Act to facilitate the removal of aliens identified in the terrorist screening database, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/D000615.json,9,House Judiciary Committee,"February  3, 2017",Referred to the House Committee on the Judiciary.
H.R.857,"To provide for conservation and enhanced recreation activities in the California Desert Conservation Area, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/C001094.json,0,House Natural Resources Committee,"February  3, 2017",Referred to the House Committee on Natural Resources.
H.R.845,To provide for ocean acidification collaborative research grant opportunities.,"February  3, 2017",https://api.propublica.org/congress/v1/members/C001112.json,5,"House Science, Space, and Technology Committee","February  3, 2017","Referred to the House Committee on Science, Space, and Technology."
H.R.856,"To reauthorize the VOW to Hire Heroes Act of 2011, to provide assistance to small businesses owned by veterans, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/C001068.json,9,"House Science, Space, and Technology Committee","February  3, 2017","Referred to House Science, Space, and Technology"
H.R.846,"To amend title 10, United States Code, to repeal the requirement for reduction of survivor annuities under the Survivor Benefit Plan for military surviving spouses to offset the receipt of veterans dependency and indemnity compensation, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/W000795.json,0,House Armed Services Committee,"February  3, 2017",Referred to the House Committee on Armed Services.
H.R.847,"To preserve the name of the Squaw Creek National Wildlife Refuge, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/G000546.json,0,House Natural Resources Committee,"February  3, 2017",Referred to the House Committee on Natural Resources.
H.R.852,"To amend the Immigration and Nationality Act to provide that an alien may not be denied admission or entry to the United States, or other immigration benefits, because of the alien&#39;s religion, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/B001292.json,96,House Judiciary Committee,"February  3, 2017",Referred to the House Committee on the Judiciary.
H.R.865,"To make a categorical exclusion available to the Secretary of Agriculture and the Secretary of the Interior to develop and carry out a forest management activity on National Forest system lands derived from the public domain or public lands to address insect or disease infestation declared as an emergency in a State by the Governor of such State, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/M001177.json,12,House Natural Resources Committee,"February  3, 2017",Referred to House Natural Resources
H.R.848,"To amend the Solid Waste Disposal Act to incentivize efficient nutrient management practices and to clarify the citizen suit provisions of such Act, and for other purposes.","February  3, 2017",https://api.propublica.org/congress/v1/members/N000189.json,29,House Energy and Commerce Committee,"February  3, 2017",Referred to the House Committee on Energy and Commerce.
H.R.849,To repeal the provisions of the Patient Protection and Affordable Care Act providing for the Independent Payment Advisory Board.,"February  3, 2017",https://api.propublica.org/congress/v1/members/R000582.json,13,House Rules Committee,"February  3, 2017",Referred to House Rules
H.R.860,To direct the Secretary of Health and Human Services to establish a grant program for States that provide flexibility in licensing for health care providers who offer services on a volunteer basis.,"February  3, 2017",https://api.propublica.org/congress/v1/members/D000533.json,2,House Energy and Commerce Committee,"February  3, 2017",Referred to the House Committee on Energy and Commerce.
H.R.861,To terminate the Environmental Protection Agency.,"February  3, 2017",https://api.propublica.org/congress/v1/members/G000578.json,3,"House Science, Space, and Technology Committee","February  3, 2017","Referred to House Science, Space, and Technology"
