number,title,introduced date,sponsor,cosponsors,committees,latest action day,latest action
S.J.RES.38,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to 'Approval, Disapproval and Promulgation of Air Quality Implementation Plans; Partial Approval and Partial Disapproval of Air Quality Implementation Plans and Federal Implementation Plan; Utah; Revisions to Regional Haze State Implementation Plan; Federal Implementation Plan for Regional Haze'.","March 13, 2017",https://api.propublica.org/congress/v1/members/L000577.json,1,Senate Environment and Public Works Committee,"March 13, 2017",Read twice and referred to the Committee on Environment and Public Works. (Sponsor introductory remarks on measure: CR S1781)
S.607,A bill to establish a business incubators program within the Department of the Interior to promote economic development in Indian reservation communities.,"March 13, 2017",https://api.propublica.org/congress/v1/members/U000039.json,2,Senate Indian Affairs Committee,"March 13, 2017",Read twice and referred to the Committee on Indian Affairs.
S.608,"A bill to nullify the effect of the March 6, 2017 executive order that temporarily restricts most nationals from six countries from entering the United States.","March 13, 2017",https://api.propublica.org/congress/v1/members/F000062.json,37,Senate Judiciary Committee,"March 13, 2017",Read twice and referred to the Committee on the Judiciary.
S.614,A bill to require the Secretary of the Interior to establish a pilot program for commercial recreation concessions on certain land managed by the Bureau of Land Management.,"March 13, 2017",https://api.propublica.org/congress/v1/members/F000444.json,1,Senate Energy and Natural Resources Committee,"March 13, 2017",Read twice and referred to the Committee on Energy and Natural Resources.
S.615,"A bill to establish an alternative, outcomes-based process for authorizing innovative, high-quality higher education providers to participate in programs under title IV of the Higher Education Act of 1965.","March 13, 2017",https://api.propublica.org/congress/v1/members/B001267.json,1,"Senate Health, Education, Labor, and Pensions Committee","March 13, 2017","Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
S.611,"A bill to amend the McKinney-Vento Homeless Assistance Act to meet the needs of homeless children, youth, and families, and honor the assessments and priorities of local communities.","March 13, 2017",https://api.propublica.org/congress/v1/members/F000062.json,1,"Senate Banking, Housing, and Urban Affairs Committee","March 13, 2017","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (Sponsor introductory remarks on measure: CR S1780-1781)"
S.610,"A bill to promote transparency by permitting the Public Company Accounting Oversight Board to allow its disciplinary proceedings to be open to the public, and for other purposes.","March 13, 2017",https://api.propublica.org/congress/v1/members/R000122.json,1,"Senate Banking, Housing, and Urban Affairs Committee","March 13, 2017","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (Sponsor introductory remarks on measure: CR S1780)"
S.612,"A bill to provide for the unencumbering of title to non-Federal land owned by the city of Tucson, Arizona, for purposes of economic development by conveyance of the Federal reversionary interest to the City.","March 13, 2017",https://api.propublica.org/congress/v1/members/F000444.json,1,Senate Energy and Natural Resources Committee,"March 13, 2017",Read twice and referred to the Committee on Energy and Natural Resources.
S.609,"A bill to amend the Department of Veterans Affairs Health Care Programs Enhancement Act of 2001 and title 38, United States Code, to require the provision of chiropractic care and services to veterans at all Department of Veterans Affairs medical centers and to expand access to such care and services, and for other purposes.","March 13, 2017",https://api.propublica.org/congress/v1/members/M000934.json,8,Senate Veterans&#39; Affairs Committee,"March 13, 2017",Read twice and referred to the Committee on Veterans&#39; Affairs.
S.613,"A bill to amend the Public Utility Regulatory Policies Act of 1978 to provide for the consideration by State regulatory authorities and nonregulated electric utilities of whether subsidies should be provided for the deployment, construction, maintenance, or operation of a customer-side technology.","March 13, 2017",https://api.propublica.org/congress/v1/members/F000444.json,0,Senate Energy and Natural Resources Committee,"March 13, 2017",Read twice and referred to the Committee on Energy and Natural Resources.
S.605,Litigation Relief for Forest Management Projects Act,"March  9, 2017",https://api.propublica.org/congress/v1/members/D000618.json,1,Senate Environment and Public Works Committee,"March  9, 2017",Read twice and referred to the Committee on Environment and Public Works.
S.586,"A bill to amend the Internal Revenue Code of 1986 to modify the treatment of foreign corporations, and for other purposes.","March  9, 2017",https://api.propublica.org/congress/v1/members/S000033.json,1,Senate Finance Committee,"March  9, 2017",Read twice and referred to the Committee on Finance.
S.589,"A bill to amend the Federal Election Campaign Act of 1971 to require all political committees to notify the Federal Election Commission within 48 hours of receiving cumulative contributions of $1,000 or more from any contributor during a calendar year, and for other purposes.","March  9, 2017",https://api.propublica.org/congress/v1/members/K000383.json,0,Senate Rules and Administration Committee,"March  9, 2017",Read twice and referred to the Committee on Rules and Administration.
S.587,A bill to amend the Internal Revenue Code of 1986 to limit substantiation requirements for charitable contributions to returns submitted by the donor.,"March  9, 2017",https://api.propublica.org/congress/v1/members/R000307.json,0,Senate Finance Committee,"March  9, 2017",Read twice and referred to the Committee on Finance.
S.602,A bill to amend the Internal Revenue Code of 1986 to include automated fire sprinkler system retrofits as section 179 property and classify certain automated fire sprinkler system retrofits as 15-year property for purposes of depreciation.,"March  9, 2017",https://api.propublica.org/congress/v1/members/C001035.json,1,Senate Finance Committee,"March  9, 2017",Read twice and referred to the Committee on Finance. (Sponsor introductory remarks on measure: CR S1748-1749)
S.591,"A bill to expand eligibility for the program of comprehensive assistance for family caregivers of the Department of Veterans Affairs, to expand benefits available to participants under such program, to enhance special compensation for members of the uniformed services who require assistance in everyday life, and for other purposes.","March  9, 2017",https://api.propublica.org/congress/v1/members/M001111.json,16,Senate Veterans&#39; Affairs Committee,"March  9, 2017",Read twice and referred to the Committee on Veterans&#39; Affairs.
S.601,Senator Paul Simon Study Abroad Program Act of 2017,"March  9, 2017",https://api.propublica.org/congress/v1/members/D000563.json,5,"Senate Health, Education, Labor, and Pensions Committee","March  9, 2017","Read twice and referred to the Committee on Health, Education, Labor, and Pensions. (Sponsor introductory remarks on measure: CR S1748)"
S.598,"A bill to amend the Internal Revenue Code of 1986 to provide an above-the-line deduction for child care expenses, and for other purposes.","March  9, 2017",https://api.propublica.org/congress/v1/members/G000555.json,1,Senate Finance Committee,"March  9, 2017",Read twice and referred to the Committee on Finance.
S.599,"A bill to redesignate the Indiana Dunes National Lakeshore as the 'Indiana Dunes National Park', and for other purposes.","March  9, 2017",https://api.propublica.org/congress/v1/members/D000607.json,1,Senate Energy and Natural Resources Committee,"March  9, 2017",Read twice and referred to the Committee on Energy and Natural Resources.
S.592,"A bill to amend title 10, United States Code, to support meeting the increasing needs of the United States for a cybersecurity and information assurance workforce by reinvigorating and modifying the Information Assurance Scholarship Program of the Department of Defense, and for other purposes.","March  9, 2017",https://api.propublica.org/congress/v1/members/K000384.json,2,Senate Armed Services Committee,"March  9, 2017",Read twice and referred to the Committee on Armed Services. (Sponsor introductory remarks on measure: CR S1745)
